project,project_label,metadata_samples,depth_qc_samples,retained_haplotype_samples,multi_haplotype_samples,first_collection_month,last_collection_month,n_clades_retained
PRJNA1037681,Australia,37,37,37,35,2022-05,2022-08,3
PRJNA1130896,United States,75,75,72,67,2023-10,2024-04,13
