project,sample,file_path,qualified_ratio,mean_depth,median_depth
PRJBCH,r089,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r089.depth.txt,1.0,15754.735369458129,9820.0
PRJBCH,r175,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r175.depth.txt,1.0,74665.58903119869,11139.0
PRJBCH,r093,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r093.depth.txt,0.9427914614121512,10131.703251231527,1220.0
PRJBCH,r018,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r018.depth.txt,1.0,61884.25261083744,15910.0
PRJBCH,r162,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r162.depth.txt,1.0,5483.112972085386,3139.0
PRJBCH,r082,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r082.depth.txt,1.0,8650.697733990148,1300.0
PRJBCH,r165,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r165.depth.txt,1.0,67877.67034482758,27139.0
PRJBCH,r240,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r240.depth.txt,0.963087027914614,8732.857996715928,1024.0
PRJBCH,r168,../data/processed_data/lofreq_strict_bam_depth/PRJBCH/r168.depth.txt,1.0,82055.53339901478,13127.0
PRJEB34042,ERR10813698,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813698.depth.txt,0.9959277504105092,5462.992118226601,1364.0
PRJEB34042,ERR10813508,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813508.depth.txt,0.998423645320197,6103.686830870279,1454.0
PRJEB34042,ERR10812990,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812990.depth.txt,0.999343185550082,11371.95435139573,2825.0
PRJEB34042,ERR10813716,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813716.depth.txt,0.999343185550082,5764.295566502463,2188.0
PRJEB34042,ERR10813185,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813185.depth.txt,0.9416748768472908,1011.456026272578,631.0
PRJEB34042,ERR10813297,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813297.depth.txt,0.9866009852216748,4498.734712643678,1669.0
PRJEB34042,ERR10813646,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813646.depth.txt,0.9448275862068966,1920.0231198686367,788.0
PRJEB34042,ERR10813166,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813166.depth.txt,0.9998686371100164,10167.041116584563,6132.0
PRJEB34042,ERR10813732,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813732.depth.txt,0.9999343185550084,8309.684006568144,2650.0
PRJEB34042,ERR10812997,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812997.depth.txt,1.0,20531.326765188835,9383.0
PRJEB34042,ERR10813598,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813598.depth.txt,1.0,34868.67986863711,11246.0
PRJEB34042,ERR10813420,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813420.depth.txt,0.9186206896551724,1438.1667651888342,630.0
PRJEB34042,ERR10813464,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813464.depth.txt,0.998423645320197,9568.765123152709,1883.0
PRJEB34042,ERR10813177,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813177.depth.txt,0.990673234811166,4971.27724137931,1669.0
PRJEB34042,ERR10813604,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813604.depth.txt,0.9929064039408868,1522.0271264367816,875.0
