project,project_label,param_id,TreeCluster_threshold,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,branches,total_frequency,is_cross_branch_sample,year_month,geo_stratum,stratum,virus_clade,collection_date,geographic_location
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780127,2,2,C8+C9,C8+C9,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/21,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780146,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/28,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780187,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/16,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780205,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/26,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780206,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/29,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780211,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/7,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780213,1,1,C3,C3,1.0,False,2022-05,Sydney,2022-05|Sydney,A.D.3,2022/5/31,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780216,2,2,C6+C9,C6+C9,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/1,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780217,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/2,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780219,2,2,C9+Unclustered,C9+Unclustered,0.9999999999999999,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/2,Australia: Sydney
PRJNA1037681,Australia,TF002_T10,0.01,SRR26780237,2,2,C9+Unclustered,C9+Unclustered,1.0,True,2022-08,Sydney,2022-08|Sydney,A.D.3.1,2022/8/7,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779971,2,2,C4+C6,C4+C6,1.0,True,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/15,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779973,2,2,C6+Unclustered,C6+Unclustered,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/14,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779974,2,2,C4+C6,C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/10,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779976,3,3,C1+C6+Unclustered,C1+C6+Unclustered,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/8,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779980,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/25,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779981,2,2,C4+C6,C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/10,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779985,2,2,C4+C6,C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/17,Australia: Sydney
