project,project_label,SampleID,n_haplotypes,mean_depth,median_depth,qualified_ratio,haplotype_count_class
PRJNA1130896,United States,SRR29679712,2,11484.36183908046,7563.0,0.9921182266009853,2
PRJNA1130896,United States,SRR29679713,1,21750.16880131363,17836.0,0.9978981937602628,1
PRJNA1130896,United States,SRR29679709,3,9441.92,6259.0,0.9948768472906404,3
PRJNA1130896,United States,SRR29679852,2,12806.287816091954,9072.0,0.9965188834154352,2
PRJNA1130896,United States,SRR29679706,2,16599.30935960591,13422.0,0.9944170771756978,2
PRJNA1130896,United States,SRR29692831,2,4960.269885057472,3290.0,0.9960591133004926,2
PRJNA1130896,United States,SRR29679738,2,12587.713628899835,10402.0,0.9982922824302136,2
PRJNA1130896,United States,SRR29692828,2,2695.0868965517243,1607.0,0.9301149425287356,2
PRJNA1130896,United States,SRR29679737,2,42252.50009852217,34270.0,0.9978981937602628,2
PRJNA1130896,United States,SRR29679704,2,3749.7626272578,2546.0,0.979047619047619,2
PRJNA1130896,United States,SRR29692881,2,5383.989556650246,3339.0,0.9894252873563218,2
PRJNA1130896,United States,SRR29692965,2,7593.937996715927,5393.0,0.9920525451559934,2
PRJNA1130896,United States,SRR29679809,2,14504.623776683087,12146.0,0.996847290640394,2
PRJNA1130896,United States,SRR29692875,2,9685.483612479477,7669.0,0.9967816091954024,2
PRJNA1130896,United States,SRR29692880,2,13859.466666666667,9607.0,0.9969786535303776,2
PRJNA1130896,United States,SRR29679753,2,27000.21024630541,23653.0,0.9992118226600986,2
PRJNA1130896,United States,SRR29692865,2,3585.8921510673235,1793.0,0.9854187192118228,2
PRJNA1130896,United States,SRR29692967,2,833.288472906404,540.0,0.9175697865353036,2
PRJNA1130896,United States,SRR29692873,2,7847.809064039408,7302.0,0.9971100164203612,2
PRJNA1130896,United States,SRR29692998,2,9013.43408866995,8334.0,0.999343185550082,2
PRJNA1130896,United States,SRR29692929,2,21231.16985221675,16629.0,0.999671592775041,2
PRJNA1130896,United States,SRR29692933,2,7835.645714285714,4684.0,0.9879146141215108,2
PRJNA1130896,United States,SRR29692941,1,8566.424499178982,6314.0,0.9961247947454844,1
PRJNA1130896,United States,SRR29692982,2,1514.0302134646963,1199.0,0.9679474548440066,2
PRJNA1130896,United States,SRR29692991,2,11125.404137931037,9860.0,0.9986863711001642,2
PRJNA1130896,United States,SRR29692989,2,4124.6498522167485,3385.0,0.9961247947454844,2
PRJNA1130896,United States,SRR29692818,2,887.4500492610838,622.0,0.9018062397372744,2
PRJNA1130896,United States,SRR29692984,2,2210.905484400657,1250.0,0.9746469622331692,2
PRJNA1130896,United States,SRR29692985,3,16116.1147454844,13483.0,0.9998029556650246,3
PRJNA1130896,United States,SRR29692936,2,2026.2466995073887,1583.0,0.9858128078817734,2
