project,SampleID,n_haplotypes,project_label,project_short,clade,collection_date,collection_dt,year_month,country,state,city,geographic_location,geo_stratum,qualified_ratio,mean_depth,median_depth,sort_date,global_sample_index,global_short_label,stratum
PRJNA1037681,SRR26780119,2,Australia,AU,A.D.3.1,2022/7/2,2022-07-02,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9711658456486044,1971.0371100164205,1779.0,2022-07-02,22,AU-S22,2022-07|Sydney
PRJNA1037681,SRR26780041,3,Australia,AU,A.D.3.1,2022/7/3,2022-07-03,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9795730706075534,4778.622725779967,3853.0,2022-07-03,23,AU-S23,2022-07|Sydney
PRJNA1037681,SRR26779976,3,Australia,AU,A.D.3.1,2022/7/8,2022-07-08,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.968735632183908,1863.616617405583,1717.0,2022-07-08,24,AU-S24,2022-07|Sydney
PRJNA1037681,SRR26780048,2,Australia,AU,A.D.3.1,2022/7/8,2022-07-08,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9014778325123152,994.7253858784892,893.0,2022-07-08,25,AU-S25,2022-07|Sydney
PRJNA1037681,SRR26779974,2,Australia,AU,A.D.3.1,2022/7/10,2022-07-10,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9801642036124796,4517.613136288998,3891.0,2022-07-10,26,AU-S26,2022-07|Sydney
PRJNA1037681,SRR26779981,2,Australia,AU,A.D.3.1,2022/7/10,2022-07-10,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.970049261083744,2788.879146141215,2252.0,2022-07-10,27,AU-S27,2022-07|Sydney
PRJNA1037681,SRR26779973,2,Australia,AU,A.D.3.1,2022/7/14,2022-07-14,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9292610837438424,1306.2346141215107,1112.0,2022-07-14,28,AU-S28,2022-07|Sydney
PRJNA1037681,SRR26779985,2,Australia,AU,A.D.3.1,2022/7/17,2022-07-17,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.98311986863711,4246.298850574713,3782.0,2022-07-17,29,AU-S29,2022-07|Sydney
PRJNA1037681,SRR26780115,2,Australia,AU,A.D.3.1,2022/7/17,2022-07-17,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9832512315270936,3209.9960591133004,3019.0,2022-07-17,30,AU-S30,2022-07|Sydney
PRJNA1037681,SRR26780033,2,Australia,AU,A.D.3.1,2022/7/19,2022-07-19,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.978128078817734,3971.2059770114943,3343.0,2022-07-19,31,AU-S31,2022-07|Sydney
PRJNA1037681,SRR26780205,2,Australia,AU,A.D.3.1,2022/7/26,2022-07-26,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9619704433497536,1342.9626929392446,1274.0,2022-07-26,32,AU-S32,2022-07|Sydney
PRJNA1037681,SRR26780206,2,Australia,AU,A.D.3.1,2022/7/29,2022-07-29,2022-07,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9892939244663382,9242.72183908046,8807.0,2022-07-29,33,AU-S33,2022-07|Sydney
PRJNA1037681,SRR26780112,2,Australia,AU,A.D.3.1,2022/8/3,2022-08-03,2022-08,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9748440065681444,2741.080065681445,2479.0,2022-08-03,34,AU-S34,2022-08|Sydney
PRJNA1037681,SRR26780031,2,Australia,AU,A.D.3.1,2022/8/5,2022-08-05,2022-08,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.964334975369458,1343.728210180624,1216.0,2022-08-05,35,AU-S35,2022-08|Sydney
PRJNA1037681,SRR26780117,1,Australia,AU,A.D.3,2022/8/7,2022-08-07,2022-08,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9744499178981938,3532.180492610837,2840.0,2022-08-07,36,AU-S36,2022-08|Sydney
PRJNA1037681,SRR26780237,2,Australia,AU,A.D.3.1,2022/8/7,2022-08-07,2022-08,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9890311986863712,9735.15658456486,8495.0,2022-08-07,37,AU-S37,2022-08|Sydney
PRJNA1130896,SRR29679874,2,United States,US,A.D.1.5,2023/10/13,2023-10-13,2023-10,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9481773399014778,2307.751855500821,1410.0,2023-10-13,1,US-S01,2023-10|Oregon
PRJNA1130896,SRR29679814,2,United States,US,A.D.1.5,2023/10/22,2023-10-22,2023-10,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9933004926108374,12193.04801313629,7232.0,2023-10-22,2,US-S02,2023-10|Oregon
PRJNA1130896,SRR29679731,2,United States,US,A.D.3,2023/11/1,2023-11-01,2023-11,USA,OR,Portland,"USA: Oregon, Yamhill County",Oregon,0.9917241379310344,19086.12886699508,13028.0,2023-11-01,3,US-S03,2023-11|Oregon
