project,project_label,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,year_month,geo_stratum,clade,stratum,virus_clade
PRJNA1130896,United States,SRR29679716,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679720,2,1,C10,2023-11,Maryland,A.D.3,2023-11|Maryland,A.D.3
PRJNA1130896,United States,SRR29679721,3,1,C8,2023-11,Oregon,A.D.1,2023-11|Oregon,A.D.1
PRJNA1130896,United States,SRR29679723,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679728,2,2,C18+C21,2023-11,Washington,A.D.1.5,2023-11|Washington,A.D.1.5
PRJNA1130896,United States,SRR29679729,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679731,2,1,C12,2023-11,Oregon,A.D.3,2023-11|Oregon,A.D.3
PRJNA1130896,United States,SRR29679732,3,1,C4,2023-11,Oregon,A.D.1.6,2023-11|Oregon,A.D.1.6
PRJNA1130896,United States,SRR29679737,2,1,C25,2023-12,Washington,A.D.5.2,2023-12|Washington,A.D.5.2
PRJNA1130896,United States,SRR29679738,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679753,2,1,C3,2023-12,Oregon,A.D.1.9,2023-12|Oregon,A.D.1.9
PRJNA1130896,United States,SRR29679754,2,1,C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679809,2,1,C3,2023-12,Oregon,A.D.1.9,2023-12|Oregon,A.D.1.9
PRJNA1130896,United States,SRR29679814,2,2,C18+C21,2023-10,Oregon,A.D.1.5,2023-10|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679823,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679826,2,1,C6,2023-11,Oregon,A.D.3.2,2023-11|Oregon,A.D.3.2
PRJNA1130896,United States,SRR29679830,2,1,C14,2023-11,Oregon,A.D.1,2023-11|Oregon,A.D.1
PRJNA1130896,United States,SRR29679833,2,1,C14,2023-11,Oregon,A.D.1,2023-11|Oregon,A.D.1
PRJNA1130896,United States,SRR29679834,1,1,C1,2023-11,Oregon,A.D.5.3,2023-11|Oregon,A.D.5.3
PRJNA1130896,United States,SRR29679837,2,2,C18+C21,2023-11,Washington,A.D.1.5,2023-11|Washington,A.D.1.5
PRJNA1130896,United States,SRR29679842,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679843,2,1,C1,2023-11,Oregon,A.D.5.3,2023-11|Oregon,A.D.5.3
PRJNA1130896,United States,SRR29679844,3,1,C9,2023-11,Oregon,A.D.5.2,2023-11|Oregon,A.D.5.2
