project,project_label,input_haplotype_fasta,treefile,treecluster_output,treecluster_threshold,status,commands
PRJNA1037681,Australia,data/input/haplotypes/PRJNA1037681_extracted_4652-5617.fasta,data/processed_data/treecluster_cache/PRJNA1037681_extracted_4652-5617.treefile,data/processed_data/treecluster_cache/PRJNA1037681_extracted_4652-5617_treecluster_t0p010.txt,0.01,cache_verified,iqtree -s data/input/haplotypes/PRJNA1037681_extracted_4652-5617.fasta -o EPI_ISL_412866 -bb 1000 -m MFP -T AUTO -pre data/processed_data/treecluster_cache/PRJNA1037681_extracted_4652-5617 then TreeCluster.py -i data/processed_data/treecluster_cache/PRJNA1037681_extracted_4652-5617.treefile -t 0.010 -o data/processed_data/treecluster_cache/PRJNA1037681_extracted_4652-5617_treecluster_t0p010.txt
PRJNA1130896,United States,data/input/haplotypes/PRJNA1130896_extracted_4652-5617.fasta,data/processed_data/treecluster_cache/PRJNA1130896_extracted_4652-5617.treefile,data/processed_data/treecluster_cache/PRJNA1130896_extracted_4652-5617_treecluster_t0p015.txt,0.015,cache_verified,iqtree -s data/input/haplotypes/PRJNA1130896_extracted_4652-5617.fasta -o EPI_ISL_412866 -bb 1000 -m MFP -T AUTO -pre data/processed_data/treecluster_cache/PRJNA1130896_extracted_4652-5617 then TreeCluster.py -i data/processed_data/treecluster_cache/PRJNA1130896_extracted_4652-5617.treefile -t 0.015 -o data/processed_data/treecluster_cache/PRJNA1130896_extracted_4652-5617_treecluster_t0p015.txt
